Date,Token,Nodes
2019-07-20,1311,"[237320, 72457, 209226, 409163, 152658, 408916, 219733, 394396, 408735, 193824, 407201, 216543, 360874, 409259, 223469, 402481, 224628, 407995, 195002, 208315, 407677]"
2019-07-21,1049,"[175809, 189122, 189126, 217351, 189127, 217354, 189132, 217358, 189137, 189140, 189141, 189142, 189144, 189145, 189146, 217330, 217336, 217341, 189116, 189117, 189118]"
2019-07-24,381,"[398083, 162757, 82630, 410759, 82631, 410634, 84554, 410707, 86486, 410521, 391193, 93145, 409759, 410658, 99877, 186227, 109364, 86068, 410676, 410680, 179324]"
2019-07-25,1814,"[192387, 411657, 400906, 390411, 400599, 410520, 186200, 411354, 180894, 403422, 410465, 411554, 400677, 400615, 411690, 411692, 162349, 402670, 394421, 410488, 406717]"
2019-07-31,668,"[414850, 164484, 414725, 108295, 192200, 176074, 107019, 414608, 414930, 414613, 107989, 106965, 236248, 409765, 95021, 107950, 405807, 162226, 91442, 148850, 174777]"
2019-08-01,666,"[158848, 156229, 156233, 111882, 131724, 151314, 402403, 112420, 112421, 148840, 155177, 112172, 165103, 112242, 154355, 158964, 157045, 156475, 156029, 158846, 158847]"
2019-08-01,1604,"[408261, 397575, 224328, 237449, 407625, 227853, 167821, 95440, 62034, 237588, 209366, 415387, 415389, 225566, 217247, 390567, 390568, 414892, 392044, 178676, 9784]"
2019-08-03,666,"[156229, 231942, 408328, 156233, 151314, 415448, 194205, 402403, 112420, 148840, 155177, 112172, 189676, 104812, 165103, 154355, 158964, 157045, 156475, 156029, 158846]"
2019-08-07,1311,"[193799, 72457, 161996, 206797, 417038, 394256, 400148, 407705, 395225, 193824, 405283, 154982, 418279, 209579, 223469, 61745, 231669, 417590, 193531, 407677, 416895]"
2019-08-08,666,"[158848, 185920, 416707, 4934, 156233, 111882, 190410, 131724, 94031, 196639, 402403, 187877, 148840, 112172, 189676, 180014, 112242, 154355, 156475, 156029, 158847]"
2019-08-16,829,"[87939, 162439, 417674, 166156, 225422, 162511, 162512, 162516, 153750, 377816, 163226, 162524, 420574, 162722, 236387, 162410, 162412, 162607, 162486, 162679, 153789]"
2019-08-17,1311,"[226054, 424902, 229066, 43790, 193807, 187473, 423442, 424850, 102292, 392213, 395225, 424154, 415645, 108189, 194781, 193824, 420448, 156963, 200565, 194999, 195002]"
2019-08-20,687,"[1536, 833, 169670, 231047, 95354, 426003, 174996, 407380, 82008, 102937, 81178, 191388, 189345, 425955, 180327, 186928, 426099, 163063, 188024, 229498, 413373]"
2019-08-24,1311,"[422723, 237320, 155464, 423442, 110291, 400148, 395225, 424539, 108189, 193824, 156963, 415076, 418277, 230383, 402481, 61745, 417653, 405624, 413433, 407677, 2623]"
2019-08-25,1311,"[193799, 237320, 408839, 423442, 152658, 400148, 226070, 211802, 424539, 394396, 193824, 407201, 403552, 428132, 424186, 223469, 230383, 409264, 224628, 194999, 195002]"
2019-08-26,1311,"[209226, 193807, 423442, 110291, 400148, 189525, 394396, 108189, 427934, 193824, 407201, 403552, 414312, 72235, 237996, 230383, 402481, 231669, 417653, 193976, 413433]"
2019-08-27,1049,"[189120, 175809, 189122, 189121, 217348, 189123, 217350, 189117, 189133, 217358, 189136, 189137, 189138, 189146, 203641, 217337, 217332, 217336, 175801, 189116, 175805]"
2019-08-27,1311,"[414968, 223427, 237320, 423442, 110291, 400148, 193684, 411094, 395225, 394396, 427934, 193824, 398178, 428130, 237996, 230383, 417649, 428851, 428595, 231669, 193976]"
2019-08-27,1575,"[1536, 397569, 428738, 428935, 396435, 428439, 428927, 408985, 238109, 64349, 421342, 236256, 428128, 301028, 194791, 234734, 182269, 403639, 428728, 235069, 428735]"
2019-08-30,829,"[87939, 421510, 417674, 225422, 153750, 377816, 402330, 162714, 162524, 430050, 236387, 237283, 394279, 399912, 404465, 15220, 60789, 426167, 430076, 235070, 162367]"
2019-08-30,2144,"[428228, 26309, 197062, 157769, 430094, 427088, 426580, 1238, 330263, 103896, 12123, 181084, 90461, 28194, 102050, 428964, 424676, 159142, 152615, 424678, 14894]"
