
File: /home/prio/loc_project/Data/19000000to19249999_ERC721Transaction.csv
Matching Rows:
558      1456694  1462381565  0x62190ff6a6136a5c567a8fba8c097d083d1f7cf13cefdaeb2ea4690cf9958902  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0xcac20616afef4e5cf3a7d2bf3f3d9775fcac63dc               0             0     10000000
559      1456694  1462381565  0x62190ff6a6136a5c567a8fba8c097d083d1f7cf13cefdaeb2ea4690cf9958902  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        13000
560      1464696  1462496130  0x5f24298879d3569c64fe79fc139647a996146a7485fc0c89fd293a2e6575c202  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1          431
562      1464696  1462496130  0x5f24298879d3569c64fe79fc139647a996146a7485fc0c89fd293a2e6575c202  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83  0x2cc2cef3cec3b7ebdc4a04b14a660f65814a4112               0             0       400000
563      1464696  1462496130  0x5f24298879d3569c64fe79fc139647a996146a7485fc0c89fd293a2e6575c202  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9d897d8871a7a6fd16fb76a3bea34802ba5ccd83  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1          520
603      1474185  1462631198  0x7b3c0a4e618159b80fd5a06a50afeec7bfb0b35e34dbbc123cb13888a82fa861  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1         1193
604      1474185  1462631198  0x7b3c0a4e618159b80fd5a06a50afeec7bfb0b35e34dbbc123cb13888a82fa861  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x9ac937835f6a06657441ac77788b72e3bddf2ae1               0             0    150000000
653      1486432  1462807507  0xb29a9ebb766977056ab1714ac2b3c251ba6021f2470a33270ab5810ca7dd3f03  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1         6416
654      1486432  1462807507  0xb29a9ebb766977056ab1714ac2b3c251ba6021f2470a33270ab5810ca7dd3f03  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x01d80e458ae6cd5d2bce90b06ff2d3fa993b65f5               0             0    100000000
655      1486432  1462807507  0xb29a9ebb766977056ab1714ac2b3c251ba6021f2470a33270ab5810ca7dd3f03  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1       130000
656      1486432  1462807507  0x575c4c304dfa41cb3c0fafc19452a42e186605419bb18093e93387a30ffe344f  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x01d80e458ae6cd5d2bce90b06ff2d3fa993b65f5               0             0     10000000
657      1486432  1462807507  0x575c4c304dfa41cb3c0fafc19452a42e186605419bb18093e93387a30ffe344f  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        13000
